genericName,hetName
lumateperone,92S
lumiracoxib,LUR
lacosamide,AMJ
lutein,LUT
lutetium,_LU
lycopene,LYC
lamivudine,3TC
lapatinib,FMM
lasalocid,LSD
lasmiditan,05X
lasofoxifene,C3D
mafenide,6LH
mecobalamin,COB
medronic,MDN
mefenamic,ID8
mefloquine,YMZ
meglumine,XPJ
melatonin,ML1
meloxicam,MXM
memantine,377
menadione,17Z
mequinol,4KS
magnesium,_MG
mercaptopurine,PM6
meropenem,0RV
metamfetamine,B40
metformin,MF8
methacholine,J0R
methazolamide,MZM
methimazole,MMZ
methionine,MET
methotrexate,6UV
methoxsalen,8MO
manganese,_MN
methscopolamine,3C0
methylergometrine,H8D
methylparaben,MPB
methysergide,H8J
meticillin,0RM
metocurine,CU9
metronidazole,2MN
metyrapone,MYT
midazolam,08J
midostaurin,2K2
mannitol,MTL
mifepristone,486
migalastat,DGJ
miglitol,MIG
miglustat,NBV
milnacipran,F0F
milrinone,MIL
minocycline,MIY
minoxidil,MXD
mirabegron,H6U
mitoxantrone,MIX
maraviroc,MRV
molybdenum,_MO
mometasone,MOF
montelukast,MTK
morphine,MOI
moxifloxacin,MFX
mupirocin,MRC
mycophenolic,MOA
masitinib,G65
mazindol,29Q
mebendazole,V95
meclofenamic,JMS
n-acetylglucosamine,NAG
neomycin,CNY
netupitant,GAW
nevirapine,NVP
niacin,NIO
nicotinamide,NCA
nicotine,NCT
nifedipine,C5U
nilotinib,NIL
nimesulide,NIM
nimodipine,6U9
n-acetyltyrosine,3NF
nintedanib,XIN
niraparib,3JD
nitazoxanide,NTI
nitric,_NO
nitrite,NO2
nitrofural,NFZ
nitrofurantoin,U6Z
nitrogen,HDZ
nitroglycerin,TNG
nitrous,N2O
nabumetone,NBO
norepinephrine,E5E
norethisterone,NDR
nortriptyline,21B
noscapine,08N
novobiocin,NOV
nadh,NAI
nafcillin,NFF
nalidixic,NIX
naproxen,NPS
nelarabine,HD9
nelfinavir,1UN
obeticholic,CHC
ondansetron,S87
ornithine,ORN
osilodrostat,YSY
osimertinib,YY3
oteracil,OXC
ouabain,OBN
oxacillin,0WO
oxaliplatin,1PT
oxamniquine,OAQ
oxitriptan,4PQ
octasulfur,PS9
oxygen,2FK
oxymetazoline,J5C
oxyphenbutazone,OPB
oxyquinoline,HQI
oxytetracycline,OTC
ozanimod,JEU
olaparib,09L
oleandomycin,ZIO
oleic,ELA
olmesartan,OLM
olsalazine,JBC
omacetaxine,HMT
omeprazole,1C6
paclitaxel,TA1
parecoxib,PXB
paromomycin,B6M
paroxetine,8PR
parthenolide,M4Y
pemetrexed,4DW
penciclovir,PE2
penicillamine,LEI
pentamidine,PNT
pentazocine,GM4
pentobarbital,RAV
palbociclib,LQQ
pentostatin,DCF
pentoxifylline,PNX
peramivir,BCZ
perampanel,6ZP
pexidartinib,P31
phenformin,8CV
phenindione,UAS
phenobarbital,UQA
phenol,IPH
phenolphthalein,FGT
palmitic,PLM
phenoxyethanol,268
phenoxymethylpenicillin,PNV
phenylacetic,PAC
phenylalanine,PHE
phenylbutazone,P1Z
phenylbutyric,CLT
phenylpropanolamine,NPU
phloxine,A0B
phosphoric,_PI
phosphorus,_PB
palonosetron,7A9
phylloquinone,PQN
pidolic,PCA
pilocarpine,9PL
pimozide,1II
pioglitazone,8N6
piperacillin,WPP
piperazine,PZE
piracetam,PZI
plazomicin,EDS
pamidronic,210
plicamycin,6O6
podofilox,POD
polidocanol,CE9
polydatin,7KP
polyethylene,P4K
polyethylene,PE8
polysorbate,VCG
pomalidomide,Y70
ponatinib,0LI
posaconazole,X2N
panobinostat,LBH
potassium,__K
pralsetinib,Q4J
pramipexole,G6L
pramocaine,PX9
prasterone,AND
prazosin,XRA
prednisolone,TUA
prednisone,PDN
pregnenolone,PLO
primaquine,1PQ
pantothenic,PAU
prochlorperazine,P77
profenamine,BUW
proflavine,PRL
progesterone,STR
promazine,P2Z
promethazine,ZM7
propanoic,PPI
propofol,PFL
propyl,POL
propylparaben,36M
papaverine,EV1
propylthiouracil,3CJ
pyrazinamide,PZA
pyridoxal,PLP
pyridoxine,UEG
pyrimethamine,CP6
pyrophosphoric,DPO
pyruvic,PYR
parachlorophenol,4CH
quinidine,QDN
quinine,QI9
raloxifene,RAL
retapamulin,G34
ribavirin,RBV
ribociclib,6ZZ
riboflavin,RBF
ribostamycin,RIO
rifabutin,RBT
rifampicin,5WQ
rifamycin,RFV
rifapentine,RPT
rifaximin,RXM
raltegravir,RLT
rilpivirine,T27
riluzole,657
rimantadine,RIM
rimonabant,AY6
riociguat,GZO
risedronic,RIS
risperidone,8NU
ritonavir,RIT
rivaroxaban,RIV
rofecoxib,RCX
raltitrexed,D16
roflumilast,ROF
rosiglitazone,BRL
rosuvastatin,FBI
rotenone,970
roxithromycin,ROX
rubidium,_RB
rucaparib,RPB
rutin,RUT
ruxolitinib,RG4
ramelteon,JEV
rasagiline,RAS
reboxetine,41X
remdesivir,F86
repaglinide,BJX
resorcinol,RCO
salicylamide,OHB
selinexor,V6A
selpercatinib,Q6G
selumetinib,3EW
sertraline,SRE
sildenafil,VIA
simeprevir,30B
siponimod,J8C
sirolimus,RAP
sitagliptin,715
sorafenib,BAX
salicylic,SAL
sorbitol,62W
spectinomycin,SCM
spiramycin,SPR
spironolactone,SNL
squalene,SQL
stearic,STE
steviolbioside,JC6
streptomycin,SRY
streptozocin,STZ
succinic,SIN
salmeterol,K5Y
succinylcholine,SCK
sulbactam,0RN
sulfabenzamide,BS4
sulfamethoxazole,08D
sulfanilamide,SAN
sulfapyridine,SFY
sulfasalazine,SAS
sulfathiazole,YTZ
sulindac,SUZ
sulthiame,OSP
sapropterin,H4B
sunitinib,B49
suvorexant,SUV
saquinavir,ROC
selenic,SE4
selenious,BSY
selenomethionine,MSE
tacrine,THA
tazobactam,TAZ
tedizolid,U7V
tegafur,S7W
telaprevir,SV6
telbivudine,LLT
telithromycin,TEL
telmisartan,TLS
temocillin,TJ7
temsirolimus,A4I
teniposide,9TP
tacrolimus,FK5
terazosin,TZN
teriflunomide,A26
testosterone,TES
tetracaine,TE4
tetracycline,TAC
tezacaftor,CV6
thalidomide,6EL
theophylline,TEP
thiabendazole,TMG
thiamine,VIB
tadalafil,CIA
thiopental,EDP
thioridazine,LZU
threonine,ALO
thymol,IPB
tiagabine,TGI
tiamulin,MUL
ticagrelor,TIQ
ticarcillin,XT8
ticlopidine,TIC
tigecycline,T1C
tafamidis,3MI
tilarginine,NMM
timolol,TIM
tioconazole,FJQ
tioguanine,DX4
tiopronin,WJZ
tiotropium,0HK
tipranavir,TPV
tirbanibulin,DN0
tirofiban,AGG
tivozanib,AV9
tafenoquine,H3F
tobramycin,TOY
tofacitinib,MI1
tolcapone,TCW
tolfenamic,TLF
tolmetin,TLT
toluene,MBN
topiramate,TOR
topotecan,TTC
toremifene,T0R
trabectedin,ECT
talazoparib,2YQ
tramadol,F1U
trametinib,QOM
tranexamic,AMH
tranylcypromine,1LP
tretinoin,REA
triamterene,DX2
tricaine,FG7
trichloroethylene,TCV
triclabendazole,JA9
triclocarban,9EG
tamoxifen,CTX
triclosan,TCL
triethylenetetramine,104
trifluoperazine,TFP
trimethoprim,TOP
trimetrexate,TMQ
troglitazone,GD4
trolamine,211
troleandomycin,TAO
tromethamine,TRS
tropisetron,TKT
taurine,TAU
trovafloxacin,TR6
tryptophan,B2H
tubocurarine,TC9
tylosin,TYK
tyrosine,7R6
taurocholic,TCH
balsalazide,BLQ
benzyl,010
benzyl,BZM
benzylpenicillin,PNN
bepridil,BEP
berberine,BER
beta,BCR
betamethasone,3T5
bexarotene,9RA
bezafibrate,PEM
bambermycins,M0E
bictegravir,KLQ
bifonazole,TMI
bimatoprost,15M
binimetinib,QO7
biotin,BTN
bithionol,B1T
bleomycin,BLM
boric,BO3
bortezomib,BO2
baricitinib,3JW
bosentan,K86
bosutinib,DB8
brigatinib,6GY
brimonidine,J59
brinzolamide,BZ1
brivudine,BVD
bromfenac,27R
bromocriptine,08Y
budesonide,8W5
bufexamac,A4Z
bazedoxifene,29S
bumetanide,82U
butylparaben,27K
bedaquiline,BQ1
belinostat,5OG
benfotiamine,BFT
benzatropine,CXQ
benzoic,BEZ
ubidecarenone,_UQ
urea,URE
ursodeoxycholic,IU5
vaborbactam,4D6
varenicline,QMR
vemurafenib,032
venetoclax,LBM
verapamil,4YH
vidarabine,RAB
vilazodone,YG7
vildagliptin,LF7
vinblastine,VLB
vincristine,R1Q
vinorelbine,GDF
valaciclovir,TXC
vismodegib,VIS
vitamin,RTL
vitamin,VIT
vorapaxar,VPX
voriconazole,VOR
vorinostat,SHH
voxilaprevir,L9P
valdecoxib,COX
valganciclovir,F9E
valine,VAL
valproic,2PP
valsartan,U35
vandetanib,ZD6
vardenafil,VDN
water,__O
xamoterol,FVK
xylose,HSY
zafirlukast,ZLK
zanamivir,ZMR
zanubrutinib,BA0
zeaxanthin,C7Z
zeranol,27J
zidovudine,AZZ
zoledronic,ZOL
zonisamide,ZON
zotepine,ZOT
1-palmitoyl-2-oleoyl-sn-glycero-3-(phospho-rac-(1-glycerol)),PGW
5-o-phosphono-alpha-d-ribofuranosyl,PRP
caffeine,CFF
carbamoylcholine,CCE
cyproterone,CA4
cysteamine,DHL
cysteine,CYS
cytarabine,AR3
carbenicillin,0JM
carbidopa,142
carbocisteine,CCS
carbomycin,CAI
carbon,CO2
carbon,CMO
carboplatin,QPT
carboxin,CBE
carfilzomib,3BV
calcifediol,VDY
cariprazine,7RU
carprofen,0LA
carvedilol,CVD
cefalotin,9EP
cefamandole,SMX
cefepime,9WT
cefixime,C04
cefmetazole,4KO
cefotaxime,CE3
cefoxitin,1QL
calcipotriol,MC9
ceftaroline,1W8
ceftobiprole,RB6
ceftriaxone,9F2
cefuroxime,DXF
celecoxib,CEL
ceritinib,4MK
cerivastatin,116
cetirizine,CZE
cetrimonium,16A
cetyl,PL3
calcitriol,3EV
chenodeoxycholic,JN3
chlorambucil,CBL
chloramphenicol,CLM
chloramphenicol,CL8
chloric,LCO
chloroform,MCH
chloroquine,0TX
chlorpromazine,Z80
chlortetracycline,CTC
chlorzoxazone,CLW
camphor,CAM
cholecalciferol,VD3
cholesterol,CLR
cholic,CHD
choline,CHT
chromium,CQ4
cianidanol,KXN
ciclopirox,B4O
cidofovir,CFV
cilastatin,CIL
cinacalcet,YP4
cannabidiol,P0T
cinnamaldehyde,9Y6
cinnarizine,N90
ciprofibrate,C5F
ciprofloxacin,CPF
cisplatin,CPT
citicoline,CDC
citric,CIT
cladribine,CL9
clarithromycin,CTY
clavulanic,J01
capsaicin,4DY
clindamycin,CLY
clioquinol,CQL
clobetasol,XRD
clofarabine,CFB
clomipramine,CXX
clonidine,CLU
clopidogrel,CGE
clotrimazole,CL6
captopril,X8Z
cobamamide,B1Z
cobimetinib,EUI
cocaine,CCA
cocarboxylase,TPP
coenzyme,COM
colchiceine,2SJ
colchicine,LOC
colfosceril,PCF
copanlisib,6E2
copper,GXW
carbamazepine,N6W
creatine,CRN
crizotinib,VGH
cupric,CUL
cupric,C1O
curcumin,CC9
cyanocobalamin,CNC
cycloguanil,1CY
cycloserine,4AX
cyclothiazide,CYZ
cyproheptadine,C7H
d-glucose,GLC
darunavir,017
dasatinib,1N1
daunorubicin,DM1
decamethonium,DME
deferasirox,JBL
delavirdine,SPP
deoxycholic,DXC
dequalinium,DEQ
desflurane,DSF
desipramine,DSM
d-methionine,MED
desvenlafaxine,29J
dexamethasone,DEX
dexibuprofen,IBP
dexketoprofen,9KL
dexmedetomidine,CZX
dexpanthenol,MV2
dexrazoxane,CDX
dextroamphetamine,1WE
diazepam,DZP
diazoxide,20J
d-serine,DSN
dibekacin,84D
dichloroacetic,TF4
dichlorophen,JAL
diclofenac,DIF
diclofenamide,I7A
didanosine,2DI
didecyldimethylammonium,10A
diethylstilbestrol,DES
diethyltoluamide,DE3
diflunisal,1FL
dabrafenib,P06
digitoxin,F9R
digoxin,DGX
dihydroergotamine,2GM
dihydrostreptomycin,71R
diltiazem,5H0
dimercaprol,9DC
dimethyl,9HB
dimethyl,DMS
dinoprostone,P2E
diperodon,POW
dacomitinib,1C9
diphenhydramine,2PM
dipyridamole,H9F
disopyramide,DP0
dl-dimyristoylphosphatidylcholine,MC3
dobutamine,Y00
docetaxel,TXL
doconexent,HXA
dolutegravir,DLU
dopamine,LDP
doravirine,2KW
dalfampridine,4AP
doripenem,O6P
dorzolamide,ETS
doxercalciferol,V2H
doxorubicin,DM2
doxycycline,DXT
dronabinol,TCI
duloxetine,29E
dyclonine,N8R
dyphylline,X0T
dalfopristin,DOL
danazol,QA1
dantron,CHZ
econazole,ECL
enasidenib,69Q
entacapone,PD9
entrectinib,YMX
epinephrine,ALE
epirubicin,DM6
eplerenone,YNU
eravacycline,YQM
erdafitinib,5SF
ergocalciferol,D2V
ergosterol,ERG
edetic,EDT
ergotamine,ERM
eribulin,6K9
erlotinib,AQ4
ertapenem,1RG
erythromycin,ERY
escitalopram,68P
esculin,7OU
estradiol,EST
estriol,ESL
estrone,J3Z
edrophonium,EDR
estrone,FY5
etacrynic,EAA
ethambutol,95E
ethanol,EOH
ethinylestradiol,3WF
ethionamide,1JA
ethosuximide,9V2
ethyl,ZYC
ethyl,E4B
ethylenediamine,EDN
efavirenz,EFZ
etidronic,911
etomidate,V8D
etoposide,EVP
etoricoxib,5CH
etravirine,65B
eugenol,EOL
everolimus,E53
exemestane,EXM
ezetimibe,H56
ezogabine,FBX
elagolix,F5O
elvitegravir,ELV
empagliflozin,7R3
emtricitabine,ETV
enalaprilat,EAL
famotidine,FO9
fidaxomicin,FI8
filgotinib,2HB
finasteride,FIT
flavin,FAD
flavin,FMN
flavone,FLN
flecainide,K4D
fluconazole,TPF
flucytosine,1LD
fludrocortisone,ZK5
febuxostat,TEI
flufenamic,FLF
flumazenil,FYP
flunixin,JBO
fluorescein,FLU
fluoride,__F
fluorouracil,URF
flurazepam,FL7
flutamide,HFT
fluticasone,GW6
fluvastatin,115
fedratinib,2TA
fluvoxamine,FVX
folic,FOL
fomepizole,4PZ
formaldehyde,FOR
formoterol,FVN
foscarnet,PPF
fosfomycin,FCN
fostamatinib,2RC
framycetin,NMY
fructose,FRU
felodipine,225
fulvestrant,FVS
furazolidone,FUR
furosemide,FUN
fusidic,FUA
fenofibric,F5A
fenoldopam,G3C
fenoprofen,PFN
fentanyl,7V7
ferric,_FE
gabapentin,GBN
gentamicin,51G
gentian,CVI
geraniol,64Z
gilteritinib,C6F
glecaprevir,O31
gliclazide,GCZ
glimepiride,GMR
gluconic,GCO
gluconolactone,8S0
glucosamine,95Z
galactose,3BU
glutamic,FGA
glutathione,GSH
glutathione,GDS
glyburide,GBM
glycerin,GOL
glycine,GLY
glycolic,GOA
granisetron,CWB
grazoprevir,SUE
guaiacol,JZ3
galantamine,GNT
guanidine,GAI
gamma-aminobutyric,ABU
ganciclovir,GA2
gatifloxacin,GFN
gefitinib,IRE
gemcitabine,GEO
gemfibrozil,4TX
halofuginone,HFG
hydrochlorothiazide,HCZ
hydrocortisone,HCY
hydroflumethiazide,HFZ
hydrogen,PEO
hydroquinone,HQE
hydroxocobalamin,I2A
hydroxyamphetamine,AEG
hydroxyurea,NHY
hygromycin,HY0
hyoscyamine,HYO
haloperidol,GMJ
halothane,HLT
hesperidin,H1N
hexachlorophene,H3P
hexamidine,DID
histamine,HSM
huperzine,HUP
hydralazine,HLZ
ibandronate,BFQ
imidacloprid,IM4
